duygu;veri
;İyi ki aldım
;Ürün geldi ve çalışmıyo
;çok kullanisli içine ne atsam un ufak ediyor kullanımı çok pratik kesinlikle tavsiye ederim
;kahvesi görüntüsü süper
;kırışıklıkları çok iyi açıyor
;Bir sene kullandım kulaklığın sesi azaldı ayriyeten sağ taraftan neredeyse ses gelmiyor kullandım bir sene içinde gayet memnundum
;Olumlu yönleri: Güvenilir satıcı hızlı teslimat
;idare eder
;cok kullanışlı
;Çok agresif yaklaşım sergilediler.
;Beğenmedim.......................
;çayı soğutmuyor sürekli sıcak tutuyor alınabilir
;Biraz sesli çalışıyor daha iyisi alınabilir
;Ürünün ucunu sivri bekliyordum ama 7 plusa göre geldi şarj yerine göre bozuldu bide
;Avantajlar : Taksit<br />Dezavantajlar : Fiyat<br />Harika bir ürün
;Hafif ve çok hızlı ısınıyor çok memnunum
;alacak arkadaslar kesinlikle almasin verdiginiz paraya değmez... lens ayari yapilmiyor ve tırnakları tutmuyor. daha ucuza aldigim vr gözlük bundan daha kaliteliydi...
;evettttttttttttt
;1-2 ayda bozuldu kendi kendine şarkıyı durdurup şarkı değiştiriyor önermem
;hoparlor eywallah ta basa glince bu ne ya çok kötü bi bas sistemi son sese açınca berbat beklentimin altında bi ürün beğenmedim
;evet beğendim anlatıldığı gibi
;KorkmaZa gövde tutma yeri yakışmadı
;Bende bi hevesle aldim arkadasimda da vardi o yuzden asinaydim biraz ama velakin benimki  cok sesli calisiyor ve sanki igne bir metale vurur gibi sesler cikariyor sorun nedir anlamadim bilen varsa beni yonlendirirmisiniz lutfen
;1 gün gecikmeli gelmesine rağmen buna değdiğine inanıyorum. anneme hediye olarak almıştım çok memnun kaldı. alacaklara tavsiye ederim kullanışlı hoş bir ürün gerçekten.
;Şık ve güzel
;Çok güzel ve gözüktüğü gibi herkese tavsiye ederim hiç düşünmeden alın
;Süpürge güzel sorunsuz çalıyor.Ama kargo paket sorunu vardı.Gelirken güç düğmesi düşmüştü.İyi besleme yapılmamıştı.Çalışmasında şimdilik bir sorun yok.
;Ürün sık güzel ama cam bölümünde piston yok anlamadım yani
;Fotosu da mewcut ne yazıkki ????
;Normal
;Ürünü alalı tam iki yıl oldu ... Hiç bir sıkıntısı yok tavsiye ederim hem ucuz hem kaliteli... tekrar teşekkürler...
;Casper via  s20 tablet sim kart girişi varmıştır?
;Ürün dün elime ulaştı ve daha ilk kullanımda sigorta attırmaya başladı. Kullanamadım.
;urun gerçekten çok iyi
;okul için aldık kapasitesi çok iyi
;ürün güzel kullanmasi rahat güç düğmesi sert değil o yüzden yormuyor fiyatı da uygun
;Çok güzel teşekkürler
;??basarili ve kaliteli bir urun .
;Ürünü henüz kullanmadan bu soruta cevap veremeyeceğim.
;Hozlı mağaza özenli paket
;ürün dışardan açıkça görülebilecek kadar arızalı tuşları bozuk
;Hızlı ve çok özenli kargo çok teşekkür ederim. Ürünün sadece çalışıp çalışmadığını kontrol ettim ses cok yok bu hosuma gitti
;Ürün hala Horoz lojistikten elimize geçmedi. Yaklaşık 10 gün oldu. Gelirse ürün konusunda fikir sahibi olacağız.
;Ürün güzel ancak sevkiyat süresi uzun. Ayrıca ürünün elektrik kablosu eksik çıktı.
;Burda yapilan yorumlar kesinlikle doğru. Mesela bir bayan 10 gün kullanmış cok memnun. Evet dogrudur ilk 10 gün harika çalışiyor ama sonradan cekim gücü cok azaliyor. Makina ilk günler cok sessiz ve cekişli. Ama 3 ay sonra inanilmaz bir ses    cikiyor. Ve inanin normal el gırgırı bile daha iyi topluyor. Rowenta ürünü kesinlikle kalite kontrolunü iyi yapmali. Yoksa verdigimiz paraya yazık
;Çok memnun kaldım çeyiizm için almıstım ama kullanıyorum baya memnunum
;Garanti etiketi üzerinde yapışılı geldi ama iç anakartı powera bağlayan fiş sökük geldi. sanki garanti dışı bırakmak için yapılmış tuzak gibi geldi . Cihazın iç donanımı eski tip. Standart mağazalarda satılan i3 donanımları bile değil. Ama fiyat performans bazında basit işlemler için tercih edilebilir.
;Güzel bir ürün kaliteli
;Birinci haftada bozuldu orijinal mi değil
;Telefonun ekranı ve renkleri çok güzel hem geniş hem de kaliteli bir kamerası var. Hafıza Androidde dert değil her türlü kaynak yüklenebiliyor Samsung garantisi de cabası.
;Rakiplerine nazaran çok geride ve Google yok değmez
;İki adet aldim bu telefondan. Birini kardesime hediye aldim sebeke sikintisi cikti sifir cihazdan. Garantiye gonderdim ama mahcup oldum kardesime. Dierinde bir sorun yok. Mahcup oldugum icin cok kotu not verdim
;Çok sesli çalışıyor.
;Ürün hasarlı ve kullanılmış geldiği gibi iade ettim
;Üründe ses karşı tarafa çok az gidiyor. 2 defa garantiye göndermeme rağmen sorun çözülmedi. Kısaca bulaşmayın pişman olursunuz benim gibi
;Ütüyü beğendim ele hoş ele hoş ki kırışıklar görse bile saygıdan dümdüz oluyorlar.
;Cihaz kullanışlı fakat yılda en fazla 15 sakal tıraşı olduğum halde 2 buçuk yılda bozuldu. Taş çatlasın 10 kere şarja takmışımdır. Dayanıksız çıktı.
;Paket duzensizdi
;Yorumları okudum aklım karıştı. Ama yine de çogunluğa uydum. İlk denemem hüsran. Kahve dünyasının çok kavrulmuş kahvesiyle yaptım neredeyse sıfır köpük. İade etmeyi düşünürken ertesi gün taze kahve çektirip denedim sonuç istediğim gibi boll bol köpük nefis tat. Teşekkürler arzum okka minio. Teşekkürler hepsiburada... 2 dakikada bol köpük okka mimio..
;Avantajlar : sıkma devrini ayarlayabiliyorsunuz<br />Gerçekten özellikleriyle sizi memnun edecek ürün.
;öncelikle kari hızlı 1 gün bile sürmedi gelmesi ve resimde göründüğü şekliyle değil yaninda bez veya köpük yok kullanmadan önce cildi temizlemek için kullanılması gereken şeyler bunlar.Daha kullanmadım cildi mi şimdilik temiz bir bezle silip uygulayacağım
;kesinlikle çok kullanışlı ablamın tavsiyesi üzerine aldım.
;SÜPER FİYAT KALİTELİ MAKİNE
;tam 14 gün sonra geldi
;evet aynen  10 numara
;begendim urunu anlarildigi gibi teskkr ederiz
;Dolap umdugumdan daha kucuk ve normal buyuk haznesinde buzlanma oluyor.
;abi bu nedir ya. kokusu bayılttı. ucuz parfüm ama çok güçlü koku. kullanamadım bir daha.
;Kesinlikle beğenmedim
;çok güzel açıkçası
;a++ enerji konusunda belli zaten. tasarım olarak başarılı. oldukça sessiz çalışıyor duyulmuyor sesi daha ne olsun.
;ürünü fiyat olarak benzerleri ile karşılaştırarak teknoloji marketlerde inceleyerek buradan aldım. 10 numara 5 yıldızı bu fiyata 100 kere hak ediyor tavsiye edrim.
;Alalı 1 ay olmadan bozuldu malesef servis e vermek zorundayım
;4yıldır kullanıyorum..1kere motoru yandı..hortumu yırtıldı..turbo başlık sadece halılarda güzel..laminantta kırıntıları ordan Oray'a savuruyor..Kokuda suyu dökmezseniz doğal olarak kokuyor..Parçaların içini diş fırçası ile temizliyorum..Emiş gücü Zaman'la düştü..
;Rowenta süpürgenin emiş gücü çok  kötü. Hiçbirşekilde hiç kimseye tavsiye etmiyorum. Ürünü 3. İyi süpürge olarak tanıtmadan önce lütfen tekrar araştırın ki insanları  yanlış yönlendirmeyin.  Ancak aldığım bir ay süper çeken bir süpürgeydi. Bir ay sonrasında hiçbirşey çekmediğini gördüm. Bir sorun mu var diye servise götürdüğümde rowenta süpürgelerde aynı şikayetin herkes tarafından yapıldığını ancak bu konuda yardımcı olamayacaklarını belirttiler. Her süpürgeden sonra filtreyi yıkamamı tavsiye ettiler. Böyle bir markanın ürününe sahip çıkmaması mümkün değil diyerek müşteri hizmetlerini aradım ve yine aynı tavsiye tarafıma yapıldı. Zaten yapılan tüm yorumlardaki herkes aynı şeyden şikayetçi keşke daha önce okusaymışım o yorumları. İyi olan tek tarafı sessiz olması o da ne işe yarar?
;Fiyatı gayet uygun epeyde sirin bir sey pisirmesi de bir harika. Ufak ama marifetli Teknosanin her zaman kaliteli ürünleri satmasi da süper.
;Süper bir ürün almak isteyenlere kesinlikle tavsiye ediyorum fiyatı da gayet iyi
;ÇEYİZİM İÇİN ALDIM HENÜZ KULLANMADIM AMA ANNEM KULLANIYOR ÇOK MEMNUNUZZZZ..
;Harika kullanışlı bir ürün tavsiye ederim.
;Şarj süresi 2 günü geçiyor . Özelliklerine göre fiyatı da uygundu . Şık ve zarif bir telefon. Yaklaşık 3 haftadır kullanıyoruz ve gayet memnunuz. Türkiye garantili olması da ayrıca güzel. Ama bir sorun yaşayacağımızı sanmıyorum. Tavsiye edilir ??
;Malesef ben memnun kalmadım sert ve kullanışsız olduğunu düşünüyorum
;ürünü yorumlara bakarak sipariş verdim ancak ürün geldiğinde resimlerde göründüğünden çok daha büyük olduğunu ve tezgah üzerinde çok yer kapladığını gördüm hiç kullanmadım ancak temizliği biraz zor olsa gerek aparatları ön konsol falan sökülüyor kötü tarafı rezistansı sanırım yağın içerisinde kalıyor altında değil neyse büyük fritöz isteyenler gönül rahatlığıyla alabilirler..
;KUMTEL KS 2861 I 2700W İNFRARED ISITICI
;Çok güzel çalıştırdım herhangi bir sıkıntı yok. Yalnız 10 adet güç kademesi var yazıyor güç ayarı yok. yalnızca turbo ve normal ayarı var. Onun haricinde kargo paketleme fiyat performans güzel.
;Ürünü ofis için aldık. Çok güzel ve kullanışlı ama musluğu az akıyor.
;sevk irsaliyesi ile geldi fatura göndermiyor musunuz?
;geldi denedik gayet güzel ama biraz sesli ve ızgarası yok oysa siparişte var yazıyor bu kötü
;Olumsuz yönleri: Hiç memnun değiLim çekim gücü inanıLmaz çirkin boşuna aLmışım yazık parama çekmiyo ki kuLLanayım ??
;Çekim gücü çok zayıf
;idare eder geç ısıtıyor sadece
;müzik dinlemek için güzel ancak telefonla konuşurken karşı tarafa ses yankı yapıyormuş
;Arızalı geldi. Bozuk
;Fircasi bu kadar kotu baska oje gormedim.. Badana fircasindan farksiz..
;kalitesi pek iyi değil
;evet.................
;süper süpürge çekim gücü ve kalitesi harika birde yerli marka olunca
;bu paraya bu telefon pes dogrusu. zaman kaybetmeden alın.
;Altus dondurucu ve buzdolabında iyi ürün fiyat olarak da uygun özellikleri ve kalitesi de gayet uygun büro tipi olarak büronuza yada yazlığınıza gönül rahatlığı ile alıp kullanabileceğiniz bir ürün Teknosa güvencesi de ürünün başka bir artısı olmuş durumda
;Samsung hm 1500 kulaklık nerde bulabilirim
;Bugün elimize ulaştı ama malesef çalışmıyor. Saatlerce bekledik ısınmıyor lambası da yanmıyor
;ürün iyi firma iyi deyil  tavsiye etmem
;ürünü 2 gündür kullanıyorum aşırı derece yağlı bir ürün yüzü parlatıyor cilt tarafından kolay emilmiyor nivea el kremi gibi bir kokusu ve kıvamı var işe yarar mı bilmiyorum ama gözenekleri mi şimdiden arttırdığını hissediyorum. Çok da memnun kalmadım.
;Kargo işlemi daha hızlı olsaydı mükemmel olurdu
;Alalı 5 6 ay oldu fakat demirleri paslandı görünüşü güzel ama tencereyi karıştırırken bile tencere yerinden oynuyor. Acıkcası cok kullanışlı bulduğumu söyleyemeyeceğim.
;Bence gayet kullanışlı ve 90 tl yi kesinlikle hakediyor.
;Teşekürler hepsiburada  bügün telefon elime geçti çok güzel özenle paketlenmiş  telefonunu herşeyi orjinal  tavsiye ediyorum herkese
;buzulu smoothie çok güzel oldu
;fazla özelliği yok
;çok hızlı kargo ürün çok kaliteli tavsiye ederim.
;Harika bir ürün ben beğendim yalnız ızgaraların biri küçük tam oturmuyor boşluk kalıyor
;Fiyatı uygun evet Ürünün fıyatı uygun şık duruşu var fakat öyle sesli çalışıyor ki ev yıkılıyor sanki
;Urun kutuya dökülmüş vaziyette geldi
;Arkadaşlar bu süpürgeyi daha iyi çekiyor ve sağlam artı Philips  markasından dolayı aldık çekişi güzel ama aldıktan 3 ay sonra sapı gevşemeye başladı sonra kendiliğinden çıkmaya başladı 8-9. Ay gibiydi metal yerinden kırıldı plastik tutma koluna giren yerden medimartan almıştık götürdük 2 yıl garantiliydi çünkü aldılar ilgilendiler servise gönderdiler geri sağlam şekilde geldi garanti kapsamında değiştirildi sandık ama malesef sağlam bir yapıştırıcı ile yapıştırmışlar tabi tekrar aynı yerden kırıldığında anladık değişmemiş şimdi tekrar mediamark a götürdük servisin bunları yapmadığını yedek parçayı ücret karşılığında sattığını ve daha sağlam farklı bir metalden yapılan yedek parça verdiklerini söylediler ona rağmen tekrar gönderdim dün 25.02.2019 tarihinde bu gün müşteri hizmetini aradım ve ordaki bayan arkadaş yapacak birşey yok dedi kullanıcı hatası dedi ilk verdiğimizde 1 yılı doldurmamış şimdi 1 yılı geçmiş dedi?? Yani dedim satın alacaksınız dedi 1 yılı geçmemişse Philips hatası 1 yılı geçerse sizin suçunuz kısacası bu bu ürünün hortum süpürge bölümü hatalı bunu satan mağazada aradığım müşteri hizmetide biliyor ama kabul etmiyorlar
;Oyun oynayacaksanız bir yere kadar götürür sonra ekran kartı takamazsınız ve yarıyolda kalırsınız yerli üretim diye atlamayın
;Ürün bozuk çıktı.
;Kırmızı yazan ürün siyah geliyor....
;ürün çok kullanışlı ve görüntü olrarak güzel.yaklaşık 3 yıl oldu hb den almıştım. hiç bir problem yaşamadım. alerjik rahatsızlığı olanlar için birebir. zaten toz torbalı süpürge satışı duyduğuma göre yasaklanacakmış. evi süpürdüktern sonra süpürgenin içini hemen termizlemek gerekiyor. yoksa koku yapıyor. ama işi layıkıyla yapıyor. kesinlikle tavsiye ederim.
;kötü bi sıkıntısı yoktur almanızı tavsiye ederim güzel
;Hızlı kargo güzel teslimat için teşekkür ederim. Sorunsuz çalışıyorr
;çok araştırdım.en iyisi en hesaplısı bu.gayet kaliteli ve şık.
;Ürünün sadece sürmesı cok kolay ama hemen dagılıyor akıyor hıc kalıcı degil . Tavsıye etmem..
;tutuculuğu gitmedi
;anneler günü hediyesi olarak aldim.gayet güçlü ve kullanışlı harikulade bir ürün
;fiyatına göre özellikleri çok kullanışlı güzel bir telefon. büyük ekran sevenler için.
;Berbat bir supurge halıda gitmiyor bile verdiğin para cop kesinlikle almayın
;astım  yada akciğer probleminiz varsa toza alerjiniz varsa gayet başarılı bir ürün içinden birsürü başlık çıkıyor rahat olun lakin çekim kalitesi çok iyi değil idare eder süpürmeyi müteakip evden çıkana inanamazsınız utanırsınız tozu iyi çekiyor
;Kırmızı KOni tenseniz mutlaka ekstra satın alınması gerekiyor bu şekilde pek efektif olmuyor. Ayrıca kaşar peynir rendelerken sıkışıyor
;"tamam ssd laf yok o çok iyi tavsiye ederim ama 1 hafta oldu hala mağaza kargoya vermedi mağazayı beğenemedim ;("
;sorunsuz geldi şimdilik çok güzel cekiyor fiyata göre güzel makina
;Hem mutfagin hem cocugun odasinin kapisi kapali olmasina ragmen uyandiriyor bence almayin cok sesli ve kablo derdi var bence kablosuz ve daha sessiz bisey alin. Cekis iyi
;Doğalgazlı diye aldık TÜPLÜ çıktı
;Ses kalitesi iyi ama ürün orjinal değil
;1 gün geçmeden kırdım attım
;Olumlu yorum yapanlar bu ocağın nesini beğeniyor anlayamıyorum. Uzunca bir süre kullanım sonucu şunu söyleyebilirim. Ateslemesi berbattı.  Paslanmalar oldu. Malzeme kesinlikle kalitesiz.
;Gayet kullanışlı fiyatına göre performanslı
;beklediğimden cok daha iyi. fiyatı piyasaya göre uygun zaten. başta plastık oldugu için tereddut etmiştim ama içi çelik. çok ilginçtir..bir fincan kahve 15 saniyede hazır oluyor ve bol köpüklü. iş yerimde kullanıyorum şimdi de.. bitki çayı hazırlamak için sıcak suya ihtiyacım oluyor. 35 saniyede büyük boy kupa bardak suyu kaynatıyor. yani hem ucuz hem pratik hem de fiyatına göre oldukça kaliteli ve kullanışlı. üstelik kargo hızlı..güzel paketlenmişti..tavsiye ederim.
;daha çalıştırmak nasip olmadi ama servis kurdu ve çalıştırdı
;6aydir kullanıyorum tek kelimeyle süper. bütün karışımlarımi bununla yapiyorum.mutfağımın vazgecilmezi.Buz kirabiliyorsunuz.fındık ceviz ilave edebilirsiniz iceceklerinize
;İyi zamanlama tebrik ederim
;Ürün çok çok kötü asla çekmiyor boşuna bu parayı vermeyin çok üzülürsünüz philips alacaktım bir arkadaşımın tavsiyesine güvendim ama resmen düz zeminde gördüğüm ufacık şeyi çekmiyor keşke sesli olsaydı da çekim gücü yüksek olsaydı...Bunu almamakla bana dua edeceksiniz net.
;Bileşenlerin hepsi 2000li yıllardan kalma tavsiye etmem
;Olumsuz yönleri: Sakin dusmeyin bu tuzaga ben dustum siz dusmeyin toplama cihaz gonderiyorlar 1 ayda bozuldu tel tamire goturdum bu toplama cihaz dedi sok oldim
;ürüne diyecek birşey yok. ama kargo tam 1 haftada (7 günde) geldi. tebrik ediyorum kargo firmasını.
;Telefon 4 gün sonra arıza yaptı fakat amazzon beni madur etmeden koşulsuz şartsız iade aldı.
;Sasi oluyor insan. Gereksiz para verdim.
;Çok çok kötü rezalet
;ürün basit çin malı bir ürün.
;Anneme aldım çok beğendi kullanışlı bu fiyata fonksiyonları çok iyi
;Ürünü alalı baya oldu ama bugüne kadar sorun yaşamadık çok memnunuz
;Motor kısmı oturmuyor. Toplasanız 10 defa kullandım ara ara çalışmıyor. Boşa para harcamayın daha iyisini alın.
;Beş yıldız puan veren arkadaşların yorumlarına saygım var ama benim size tavsiyem kesinlikle bu berbat ürünü almayın. O kadar kalitesiz bir plastik kullanılmış ki bunu 10 dakika kesintisiz çalıştırınca görebilirsiniz. Çünkü plastik eriyor yamuluyor ve artık farklı bir şekle dönüştüğü için söküp atmak zorunda kalıyorsunuz. Bu durum başımıza iki defa geldi. İlkinde garantisi devam ediyorsu ücretsiz değiştik. Servis ise uzun süre çalıştırmayın diyor. Bir saat çalıştıracak halimiz yok kesintisiz 8-10 dakika çalışınca eriyecek hale gelen bir malzemenin kalitesini siz düşünün. Evdekileri uyardım 5 dakika da bir soğumasını bekleyin veya bir kaç dakikadan fazla çalıştırmayın diye ama ikinci kez tekrar eridi ve yamuldu. Yani çöp oldu. Kısacası iki kez yaşadığım ve servisinin de kabul ettiği bu durum bu cihazın yapıldığı malzemenin ne kadar kalitesiz olduğuna en büyük delil. Asla tavsiye etmiyorum.
;O kadar İyi değil sağlam Gelseydi İyiydi Kulaklığin biri çalışmıyor keşke göndermeden önce deneseydiniz iade etmek isterdim ama memleketime gittiğim için edemedim
;Berbat. Görüntü oturmuyor. Burunu rahatsız ediyor. Lens ayarları da çok kötü. Sakın almayin.
;Ocağının demirleri sabit değil kaygan bir zamin tencereler kayıyor sakatlık çıkarabilir. Çok dikkat etmemize rağmen döküldüğü oluyor. Fırını iyi ama
;Çay yapma düğmesinde sıkıntı vardı iade ettim tekrar sipariş verip vermemekte kararsızım çok beğendim aslında ama kusurlu ürün olduğundan açıkçası soğudum biraz
;Dezavantajlar : uzun pişirme süresi<br />kesinlikle memnun değilim. pişirme süresi oldukça uzun. tavuğu pişirmek saatler sürebiliyor. hiç kimseye tavsiye etmem. iki katlı olduğuna aldanmayın iki farklı tepsiyi aynı anda pişirebilmesi imkansız. ben bir tepsiyi zamanında pişirsin yeter diyorum. bakalım bu ay elektrik faturam ne kadar gelecek?
;kibar duruyor idare eder kablolari kisa ama
;Ürünü amazzondan aldım paketleme güzeldi ve ürün yaklaşık 2 güne geldi. Ürün orijinal hiçbir sıkıntısı yok.
;Daha fazla paraya gerek yok. Memnun etti. Harika
;Olumlu yönleri: ben ilk defa bukadar sessiz bir süpürge gördüm.. gece 12 de kalk ev supur yan odadaki bile duymaz..çekişide gayet iyi.. olmışken iyisi olsun dedik..parasına deger
;yorumlara bakarak ben de bu üründe karar kıldım ve 2 haftadır kullanıyorum. gayet kullanışlı. evet biraz fazla sesli ancak su filtreli süpürgelerin genel eksikliği bu..şimdiki teknolojide bence dert etmeye gerek yok. emiş gücü de harika. bu fiyata normal süpürgelerin de olduğu düşünüldüğünde tavsiye ederim.
;Ben hediye aldim Kullanan ablam cok memnun kaldi Simdi kendime aliyorum ins bu da sorunsuz gelir. Tesekkurler hepsiburada
;Bulaşıkları hiç yıkamıyor sakın almayın.
;Evet ürün çok güzel olduğu için aldım
;Robotu göründüğünden daha büyük ve güzel
;tek kelimeyle harikaa. kahve dedigin agza biraz pütürlük gelecek pahali matkalar su gbi birakip cikariyor ama bu urun ram istedgim gbi ve oldukca kopurtuyor siddetle  tavsiye ediyorummmm ve fiyati cok uygun
;tost makinesinden çok
;Kargo şirketinde mi sıkıntı sizde mi sıkıntı anlayamadım ürün geldi iki yeri çatlak içindeki fan sistemi kırık geri iade gönderdim
;anakartın ışığı sinyal şeklinde yanıp sönüyor. servise sordum o bile anlamadı.ne sattıklarından haberleri yok.
;cok guzel ve kaliteli kesinlikle almalısınız . fiyatta uygun . tesekkürler trendyol ??
;genel olarak iyi. şarkı geçme özelliği yok. Ptt kargo ile 5 günde elime ulaştı. önceden ne güzel yurtiçi kargo ile çalışırdınız.
;Halıları süpürmeyi düşünüyorsanız almamanız gereken bir ürün. Parke zemın ıcın uygun. Tavsiye etmiyorum
;Olumlu yönleri: Hızlı güzel kargo. Orjinal ürün.
;Bir yol oldu alalı gerçekten kaliteli
;Annem eski alışkanlıklarından dolayı bu robotların yaptığı bütün işlemleri elde yapıyor bıçakla doğuruyor ya da kaşıkla çırpıyor hem kolaylık olsun hem de Biraz dinlensin diye satın aldım başta biraz zorlansa da çabuk alıştı ve oldukça beğendi Şimdi artık havucu bile direkt bunda rendelebiliyor tek başına kompakt bir ürün olduğu için çok da yer kaplamadı memnun kaldık teşekkürler
;Ben çok hevesle paraya kıyıp aldım ama degmezmis gerçekten çelik olması dışında iyi bir tarafı yok bikere çok geç ısıtıyor ucuz kettler bile hemen ısıtıyor bu çok uzun suruyo atmasi. Bide plastik yazıyor ama çelik emin olun plastik daha iyi çünkü bunların dışı çok fazla ısınıyor el degmiyo kısacası pismanim iade şansım olsa iade edeceğim ama kutusunu atmış bulundum malesef.
;Ürün çok güzel ve kaliteli çok güzel tost yapıyor herkese tavsiye ederim
;ürun cok kaliteli guzel tavsiye ederim gercekten
;Üründe ufak bir defo vardı kaplama işiyle uğraştığımız için konu hakkinda bilgiye sahibim ürünün kulbunda ufak bir işlem yapilmis bu tamamen uretici kaynakli buyuk ihtimal boyayla alakali sorun olunca tekrar firinlamislar bu tabii kozmetik onemli olan plakaları ve ısıtma gucu gercekten ramazan ayi nedeniyle sahurda tost yemeyi ozlemisiz o kadar güzel yapiyor ki geldiginden beri baska sey yemedik ailecek tefal tabii ki cok kaliteli bir marka şans içi kaplamadaki ufak hatadan dolayi iade etmek istemedik satici olarak fiyati ve hizli gonderimi nedeniyle amazzonu tercih ettim hizli gonderim yapan kargo firmasi kusursuz calisiyor amazzonu ve Kolay Gelsin’i tebrik ediyorum.Tefal’e de geri bildirim yapilmasi gerektigini dusunuyorum
;Makina 9 kilo yazıyor ama sadece pamuklu programda diğer bütün eşyalar sadece 2 yada 3 kilo koyabilirsiniz. Bunu göze alarak satın aldıysanız sorun yok. Bizim gibi bilgilendirilmeden alırsanız şok olursunuz
;Almayın sakın 2300 tl ye aldım sıkma kurutma özeligi olan bir makina ama memnun değiliz arza yaptı hafıza kartı arzali servis gelip kullanıcı hatası deyip 800 tl ücret istediler yazık günah milleti bu şekilde mağdur ediyorlar birde utanmadan arayip garantiyi uzatmak istermisiniz deyişleri ayrı bir terbiyesizliktir
;Ürünün mikser ve blender aparatları çalışırken gevşeyip düşüyor
;Ürünü okuduğum yorumlara istinaden aldım ve iyikide almışım
;Telefonu dün aldım. Iphone 6'dan geçiş yapmış bir kullanıcıyım. Ekran deneyimi gayet iyi. Tam dolu bataryayla ne kadar gittiğini henüz deneyimleyemedim. Ama pil performansı da çok iyi çıkacak gibi. Telefon diğer herkesin de dediği gibi elinize aldığınızda ben kaliteliyim hissi veriyor. Son olarak da parmak izi okuyucu inanılmaz hızlı.Soruları olan varsa yazsın. Deneyimledikten sonra cevaplarım.
;Gitti gidiyor aracılığıyla braun 3242 mode sac kesme makinası aldım inanın en kötü traş makinaları bile braunun 5 kat üstünde çok kötü bir makinası kesmiyor şarjı 15/20 dk içinde bitiyor braun alarak paranızı çöpe yollamayın ve mununla ilgili değişim için meil yoluyla müracaat yaptım hiç ilgi ve alaka yok alacağın zaman değişim var söylüyorlar alınca hijyen kuralları nedeniyle değişim yok söylüyorlar sakın ha gitti gidiyor ile alışveriş ve braun sac kesme makinası almayın sonra size paranıza yazık olur
;harika bir ürün tam beklelediğim gibi
;Ürün Microsoft farkı tabi ki beğendim
;Kullanışlı bir ürün. Program sayısı yeterli.Çok pahalı ürünlere hiç gerek yok.
;çeyizim için aldim çok beğendim iyiki almışım
;daha acmadim hediye aldim
;Yerine taktığım harddiskten daha sesli çalışıyor. 1TB disk yetmediği için yerine bunu taktım 1TB yı kutu alıp taşınabilir yaptım. Bilgisayarım artık daha sesli. Rahatsız eden bir ses değil ancak fark ediliyor.
;Çok beğendim artık vestel e geçiş zamanı
;ÜRÜN HENÜZ ELİMİZE ULAŞMADI  AYNI GÜN KARGO DİYE VERDİK BİR GÜN SONRA KARKOYA VERİLMİŞ. ŞU KADAR SAATTE SİPARİŞ VERİRSENİZ BUGÜN KARGODA YAZMASININ DEMEKKİ HİÇ BİR ANLAMI YOKMUŞ.
;verdiniz paraya degmez sorun cikartip duruyor
;soğutmuyor keainlikle çok kötü yiyecekler bozuluyor içinde
;Ürün gayet kaliteli ancak diğer yorumlardaki gibi kapak kısmı biraz sıkışabiliyor zor çıkıyor
;İlk seferde köpüklü yapmayı beceremedim. Tam kaynamadan almak gerekiyor sanırım. En son pişirdiğim gayet köpüklü ve lezzetli oldu. Fincan sayısına göre ayarlanması güzel bi özellik. Tavsiye ederim.
;Erken teslimat oldu çok teşekkür ederim ürününüz çok güzel ??
;1. nesil işlemci var 1 hafta dayanmaz
;ürün hata  uyarısı veriyor
;Bende aldım ama almaz olsaydım 3 ay oldu alalı daha 1 defa adam gibi patates yemedik karıştırıcı 5 kuruş etmez kendimiz karıştırıyoruz servisten çıkmıyor zaten kaç defa götürdüm bu şekilde çalışıyor denildi berbat bir ürün
;Cok güzel ve kaliteli
;Sonsuz ekran olayı aşmış bir vaziyette. Maçları ve oyunları bu telefon ile hallediyorum. bana mısın demiyor. bataryası uzun süre gidiyor. Rami oyunların çoğu için ve işlemcisi için yeterli.
;Ne güncelleme geliyo ne bir destek var. Blackwiew a60 pro ile aynı ama ona güncelleme geliyor buna gelmiyor
;Olumsuz yönleri: Ben istanbulda yaşıyorum aynı ürünü kışın aldım servis garantiye almadı sebebi atık suyu kanala bağlanmamıştı ben geçici çözüm 10 litreli şaşala hortumu bırakmıştım   o yüzden benim cihaz garantiye alınmadı ben alt dairemde geçmiş yılda almış olduğum wiesman yoğuşmalı var onu servis kendi böyle çözüm önerdi cihazı çalıştırıp garantiye aldı biz kendimiz sıkıldık şaşalı boşaltmaktan kendimiz çözüm bulduk bina dışına bıraktık bina dışı dediğim el ayak değmeyen kimsenin ulaşmayacağı yer servis bu sisteme bile olumsuz dedi wiesman okey diyor şaşala bile onay verirken sen nasıl onay vermiyor garantiye almıyor insanı mağdur ediyorsun o yüzden tavsiyeetmem ben nasılmı çözdüm bana belge imzalatılar herşeyi bana verdi yani şikayet olursa diye tırsak bunlar adam şala bile onaylıyor değilmi
;Sabah kontrol ettim 1399 tl idi öğleden sonra 1610 tl olmuş nasıl bir ticaret anlayamadım
;İndirimdeyken almıştım hızlı teslimat kaliteli ürün
;Harika bir ürün ütü süresi azaldı tavsiye ederim
